ano,mes,sigla_uf,sigla_uf_nome,imposto_importacao,imposto_exportacao,ipi_fumo,ipi_bebidas,ipi_automoveis,ipi_importacoes,ipi_outros,irpf,irpj_demais_empresas,irrf_rendimentos_trabalho,irrf_rendimentos_capital,irrf_remessas_exterior,irrf_outros_rendimentos,iof,itr,ipmf,cpmf,cofins,cofins_entidades_financeiras,cofins_demais_empresas,pis_pasep,pis_pasep_entidades_financeiras,pis_pasep_demais_empresas,csll,csll_entidades_financeiras,csll_demais_empresas,cide_combustiveis_parcela_nao_dedutivel,cide_combustiveis,cpsss_1,cpsss_2,contribuicao_fundaf,refis,paes,retencoes_fonte,pagamento_unificado,outras_receitas_rfb,demais_receitas,receita_previdenciaria,receita_previdenciaria_propria,receita_previdenciaria_demais,receitas_outros_orgaos
2023,6,AM,Amazonas,81722557.42,-0.02,0.0,318875.31,0.0,12230407.98,4285014.59,38685492.13,267026039.5,91872820.78,2886742.91,35422244.32,9027491.54,45944970.97,465553.79,,,,280181.49,478413827.7,,45529.5,129416193.4,,263184.12,196926044.4,,0.0,,29337872.17,,,,,,62930.343,,500418.356,,,7133.283
2023,4,AM,Amazonas,85134673.29,0.0,0.0,2268917.77,30968.12,9362040.98,9232890.1,14105263.58,400427051.8,122650646.7,6025787.27,15445522.88,10372712.32,912981.53,101033.1,,,,266416.04,432853315.6,,43292.61,114452569.2,,280253.58,285326792.2,,0.0,,27363286.91,,,,,,28311755.8,,469963417.0,,,24028883.07
2023,11,AM,Amazonas,68330631.27,-0.01,0.0,4997.95,46525.27,10082606.72,2852201.03,33106627.91,195173994.0,107208924.2,2765789.58,42258634.07,8304935.91,2311007.59,343702.88,,,,300746.29,464943177.5,,48873.02,124707862.5,,257788.58,190733720.7,,0.0,,51383501.95,,,,,,12685460.16,,506790840.5,,,5166729.441
2023,9,AM,Amazonas,81906160.1,0.0,0.0,2537.75,7336.73,9467474.61,2138322.57,31856185.58,164340170.4,102565804.7,3332785.94,46129545.94,8616113.08,2533282.73,1319968.19,,,,293693.62,505483548.3,,47723.09,133139220.9,,235146.07,169960157.6,,6864850.5,,29461777.94,,,,,,44753666.07,,522230113.5,,,5930795.023
2023,7,AM,Amazonas,69228298.39,0.0,0.0,212582.52,28550.98,18491354.32,2555244.85,36821710.76,306715425.0,112822092.8,7075556.38,18545232.87,8649985.87,2402269.21,185112.94,,,,281908.15,407690719.4,,45810.09,113676951.7,,278497.69,232934827.6,,155234.3,,29347822.99,,,,,,36058007.06,,490738622.2,,,5881241.034
2023,2,AM,Amazonas,72388619.83,0.0,0.0,2756694.2,50114.11,10232089.2,2619937.09,10464455.8,206762968.0,100138084.1,7457344.36,10180141.36,13486419.07,3528681.35,113478.5,,,,216270.65,378023551.8,,35143.98,106356114.9,,200956.77,170311229.6,,0.0,,25018008.01,,,,,,12349297.1,,455837332.2,,,5811306.257
2023,10,AM,Amazonas,72744646.55,-0.12,0.0,9622.31,18127.44,8220477.2,3750331.62,33633576.45,264353946.0,104555107.4,20946276.42,28120570.85,7722008.14,2107018.49,390691.48,,,,300970.67,436641852.9,,48915.01,121025657.7,,302060.63,257505437.0,,4523177.1,,29557597.3,,,,,,29261618.05,,510990046.2,,,5419629.732
2023,12,AM,Amazonas,65207277.03,0.0,0.0,33875.44,47845.26,9633787.16,3991018.36,29678067.3,198718956.5,112660135.3,19737843.69,44131643.18,8094170.98,2471556.67,281756.86,,,,263716.58,444544057.7,,42863.33,120329132.0,,203740.72,174975687.6,,14362326.5,,42706051.65,,,,,,52841958.28,,812158814.8,,,4700276.537
2023,3,AM,Amazonas,71721016.57,-0.34,0.0,1962344.26,14025.0,10461283.33,2743135.51,13278871.66,253063517.3,102995020.3,4257576.37,40968021.09,11400437.19,2585934.1,112637.88,,,,234196.32,433340992.8,,38056.89,117438444.6,,207903.37,216885868.8,,0.0,,27235360.96,,,,,,59227816.34,,484751719.6,,,8817399.038
2023,4,AP,Amapá,139860.04,0.0,0.0,0.0,45648.58,56774.65,244863.16,3501025.52,31063741.69,7412744.49,464192.27,39042.06,669566.64,7707.31,7949.82,,,,126627.82,13856840.21,,20477.32,7475144.33,,0.0,11894599.92,,0.0,,22774806.63,,,,,,5230995.5,,60554304.04,,,2422114.041
2023,11,AP,Amapá,1204061.76,0.0,0.0,0.0,52439.15,419245.19,189613.04,7068490.59,8689487.38,19132294.88,72321.82,56354.61,451982.04,2264.23,33496.2,,,,34522.29,17634371.5,,5609.87,8779650.04,,0.0,4621824.57,,0.0,,49406612.89,,,,,,3716990.13,,64483587.21,,,1297042.65
